sessionId,paintingRunIndex,paintingIndex,paintingId,paintingName,stageIndex,stagePresetIndex,stageValueCount,stageRangeMinimum,stageRangeMaximum,finalIntensity,finalFrequency,choiceEventType,orbIndex,orbLabel,selectionTriggeredLocal,selectionTriggeredUnixMs,selectionTriggeredElapsedMs,promptToSelectionMs,selectionTriggeredFrame,choiceWaitMs,selectionDwellMs,selectionEffectMs,orbColorIntensity,eventLocal,eventUnixMs,elapsedMs,notes
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,2,0.41,0.61,0.521182,0.503236,"choice_completed",3,"MgicOrb_lit_green","2026-05-16 00:30:29.149 +02:00",1778884229149,42886,9828,1814,9828,2005,808,0,"2026-05-16 00:30:29.957 +02:00",1778884229957,43694,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,2,0.21,0.41,0.26391,0.27419,"choice_completed",2,"MgicOrb_blue","2026-05-16 00:31:31.297 +02:00",1778884291297,105034,31269,4151,31269,2005,807,0,"2026-05-16 00:31:32.105 +02:00",1778884292105,105842,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,2,0.61,0.81,0.611006,0.802875,"choice_completed",3,"MgicOrb_lit_green","2026-05-16 00:32:11.477 +02:00",1778884331477,145214,9299,5593,9299,2003,809,0,"2026-05-16 00:32:12.286 +02:00",1778884332286,146023,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,2,0.01,0.21,0.03327,0.067142,"choice_completed",3,"MgicOrb_lit_green","2026-05-16 00:32:52.521 +02:00",1778884372521,186258,10164,7067,10164,2004,808,0,"2026-05-16 00:32:53.330 +02:00",1778884373330,187067,"Selection logged after orb burst completed."
