sessionId,paintingRunIndex,paintingIndex,paintingId,paintingName,stageIndex,stagePresetIndex,eventType,promptStartLocal,promptStartUnixMs,selectionTriggeredLocal,selectionTriggeredUnixMs,selectionTriggeredElapsedMs,promptToSelectionMs,selectionTriggeredFrame,choiceCompleteLocal,choiceCompleteUnixMs,elapsedMs,promptElapsedMs,choiceWaitMs,orbIndex,orbLabel,selectionDwellMs,selectionEffectMs,finalIntensity,finalFrequency,orbColorIntensity,notes
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,"choice_completed","2026-05-16 00:30:19.321 +02:00",1778884219321,"2026-05-16 00:30:29.149 +02:00",1778884229149,42886,9828,1814,"2026-05-16 00:30:29.957 +02:00",1778884229957,43694,10636,9828,3,"MgicOrb_lit_green",2005,808,0.521182,0.503236,0,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,"choice_completed","2026-05-16 00:31:00.029 +02:00",1778884260029,"2026-05-16 00:31:31.297 +02:00",1778884291297,105034,31269,4151,"2026-05-16 00:31:32.105 +02:00",1778884292105,105842,32076,31269,2,"MgicOrb_blue",2005,807,0.26391,0.27419,0,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,"choice_completed","2026-05-16 00:32:02.177 +02:00",1778884322177,"2026-05-16 00:32:11.477 +02:00",1778884331477,145214,9299,5593,"2026-05-16 00:32:12.286 +02:00",1778884332286,146023,10108,9299,3,"MgicOrb_lit_green",2003,809,0.611006,0.802875,0,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263",1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,"choice_completed","2026-05-16 00:32:42.358 +02:00",1778884362358,"2026-05-16 00:32:52.521 +02:00",1778884372521,186258,10164,7067,"2026-05-16 00:32:53.330 +02:00",1778884373330,187067,10972,10164,3,"MgicOrb_lit_green",2004,808,0.03327,0.067142,0,"Selection logged after orb burst completed."
